pop,scenario,date,covid_region,persons_above65_first_vaccinated_perc
219816,continued_trend,2021-02-25,2,0.337964446369274
219816,continued_trend,2021-02-26,2,0.345094174643208
219816,continued_trend,2021-02-27,2,0.352223902917159
219816,continued_trend,2021-02-28,2,0.359353631191111
219816,continued_trend,2021-03-01,2,0.366483359465062
219816,continued_trend,2021-03-02,2,0.373613087739012
219816,continued_trend,2021-03-03,2,0.380742816012947
219816,continued_trend,2021-03-04,2,0.387872544286898
219816,continued_trend,2021-03-05,2,0.395002272560849
219816,continued_trend,2021-03-06,2,0.4021320008348
219816,continued_trend,2021-03-07,2,0.409261729108751
219816,continued_trend,2021-03-08,2,0.416391457382685
219816,continued_trend,2021-03-09,2,0.423521185656636
219816,continued_trend,2021-03-10,2,0.430650913930587
219816,continued_trend,2021-03-11,2,0.437780642204538
219816,continued_trend,2021-03-12,2,0.444910370478489
219816,continued_trend,2021-03-13,2,0.452040098752423
219816,continued_trend,2021-03-14,2,0.459169827026374
219816,continued_trend,2021-03-15,2,0.466299555300325
219816,continued_trend,2021-03-16,2,0.473429283574276
219816,continued_trend,2021-03-17,2,0.480559011848227
219816,continued_trend,2021-03-18,2,0.487688740122161
219816,continued_trend,2021-03-19,2,0.494818468396112
219816,continued_trend,2021-03-20,2,0.501948196670063
219816,continued_trend,2021-03-21,2,0.509077924944014
219816,continued_trend,2021-03-22,2,0.516207653217965
219816,continued_trend,2021-03-23,2,0.523337381491899
219816,continued_trend,2021-03-24,2,0.53046710976585
219816,continued_trend,2021-03-25,2,0.537596838039801
219816,continued_trend,2021-03-26,2,0.544726566313752
219816,continued_trend,2021-03-27,2,0.551856294587703
219816,continued_trend,2021-03-28,2,0.558986022861637
219816,continued_trend,2021-03-29,2,0.566115751135588
219816,continued_trend,2021-03-30,2,0.573245479409539
219816,continued_trend,2021-03-31,2,0.58037520768349
219816,continued_trend,2021-04-01,2,0.587504935957441
219816,continued_trend,2021-04-02,2,0.594634664231375
219816,continued_trend,2021-04-03,2,0.601764392505326
219816,continued_trend,2021-04-04,2,0.608894120779277
219816,continued_trend,2021-04-05,2,0.616023849053228
219816,continued_trend,2021-04-06,2,0.623153577327179
219816,continued_trend,2021-04-07,2,0.630283305601113
219816,continued_trend,2021-04-08,2,0.637413033875064
219816,continued_trend,2021-04-09,2,0.644542762149015
219816,continued_trend,2021-04-10,2,0.651672490422966
219816,continued_trend,2021-04-11,2,0.658802218696917
219816,continued_trend,2021-04-12,2,0.665931946970851
