date,persons_above65_first_vaccinated_perc
2021-07-14,0.97692477154781
2021-07-15,0.977938295505815
2021-07-16,0.978951819463821
2021-07-17,0.979965343421826
2021-07-18,0.980978867379832
2021-07-19,0.981992391337838
2021-07-20,0.983005915295844
2021-07-21,0.984019439253849
2021-07-22,0.985032963211855
2021-07-23,0.986046487169862
2021-07-24,0.987060011127868
2021-07-25,0.988073535085874
2021-07-26,0.989087059043879
2021-07-27,0.990100583001885
2021-07-28,0.990840333545084
2021-07-29,0.991538351748282
2021-07-30,0.992236369951479
2021-07-31,0.992934388154678
2021-08-01,0.993632406357875
2021-08-02,0.994330424561072
2021-08-03,0.99502844276427
2021-08-04,0.995726460967467
2021-08-05,0.996424479170665
2021-08-06,0.997122497373862
2021-08-07,0.997820515577059
2021-08-08,0.998259696071973
