date,persons_first_vaccinated,model,covid_region,scenario,pop,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc,date_ceiling,persons_first_vaccinated_perc_ceiling
2021-06-17,304856.948582314,predicted,6,continued_trend,739098,304856.948582314,0.412471618895348,434241.051417686,2046.67146474868,0.00471321506353861,2021-10-10,0.730923594743877
2021-06-18,306903.620047055,predicted,6,continued_trend,739098,306903.620047055,0.415240766511417,432194.379952945,2046.67146474123,0.00473553465679971,2021-10-10,0.730923594743877
2021-06-19,308950.291511804,predicted,6,continued_trend,739098,308950.291511804,0.418009914127496,430147.708488196,2046.67146474868,0.00475806664632004,2021-10-10,0.730923594743877
2021-06-20,310996.962976545,predicted,6,continued_trend,739098,310996.962976545,0.420779061743565,428101.037023455,2046.67146474123,0.0047808140783109,2021-10-10,0.730923594743877
2021-06-21,313043.634441294,predicted,6,continued_trend,739098,313043.634441294,0.423548209359644,426054.365558706,2046.67146474868,0.00480378005765715,2021-10-10,0.730923594743877
2021-06-22,315090.305906035,predicted,6,continued_trend,739098,315090.305906035,0.426317356975712,424007.694093965,2046.67146474123,0.00482696774905142,2021-10-10,0.730923594743877
2021-06-23,317136.977370784,predicted,6,continued_trend,739098,317136.977370784,0.429086504591791,421961.022629216,2046.67146474868,0.00485038037872783,2021-10-10,0.730923594743877
2021-06-24,319183.648835525,predicted,6,continued_trend,739098,319183.648835525,0.43185565220786,419914.351164475,2046.67146474123,0.00487402123567712,2021-10-10,0.730923594743877
2021-06-25,321230.320300274,predicted,6,continued_trend,739098,321230.320300274,0.434624799823939,417867.679699726,2046.67146474868,0.00489789367346953,2021-10-10,0.730923594743877
2021-06-26,323276.991765015,predicted,6,continued_trend,739098,323276.991765015,0.437393947440008,415821.008234985,2046.67146474123,0.00492200111155671,2021-10-10,0.730923594743877
2021-06-27,325323.663229764,predicted,6,continued_trend,739098,325323.663229764,0.440163095056087,413774.336770237,2046.67146474868,0.00494634703718991,2021-10-10,0.730923594743877
2021-06-28,327370.334694505,predicted,6,continued_trend,739098,327370.334694505,0.442932242672155,411727.665305495,2046.67146474123,0.00497093500681484,2021-10-10,0.730923594743877
2021-06-29,329417.006159253,predicted,6,continued_trend,739098,329417.006159253,0.445701390288234,409680.993840747,2046.67146474868,0.00499576864809177,2021-10-10,0.730923594743877
2021-06-30,331463.677623995,predicted,6,continued_trend,739098,331463.677623995,0.448470537904303,407634.322376005,2046.67146474123,0.00502085166139019,2021-10-10,0.730923594743877
2021-07-01,333510.349088743,predicted,6,continued_trend,739098,333510.349088743,0.451239685520382,405587.650911257,2046.67146474868,0.00504618782191792,2021-10-10,0.730923594743877
2021-07-02,335557.020553492,predicted,6,continued_trend,739098,335557.020553492,0.454008833136461,403540.979446508,2046.67146474868,0.0050717809813414,2021-10-10,0.730923594743877
2021-07-03,337603.692018233,predicted,6,continued_trend,739098,337603.692018233,0.45677798075253,401494.307981767,2046.67146474123,0.00509763506992028,2021-10-10,0.730923594743877
