covid_region,pop,scenario,date,persons_first_vaccinated,model,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc,date_ceiling,persons_first_vaccinated_perc_ceiling
2,1243906,trend_past30days,2021-08-21,610473.10483871,predicted,610473.10483871,0.490771091094271,633432.89516129,1566.88911290467,0.00247364657704696,,
2,1243906,trend_past30days,2021-08-22,612039.993951611,predicted,612039.993951611,0.492030743441716,631866.006048389,1566.88911290094,0.00247978067802709,,
2,1243906,trend_past30days,2021-08-23,613606.883064516,predicted,613606.883064516,0.493290395789164,630299.116935484,1566.88911290467,0.00248594527709778,,
2,1243906,trend_past30days,2021-08-24,615173.772177417,predicted,615173.772177417,0.494550048136609,628732.227822583,1566.88911290094,0.00249214060225189,,
2,1243906,trend_past30days,2021-08-25,616740.661290322,predicted,616740.661290322,0.495809700484057,627165.338709679,1566.88911290467,0.00249836688380829,,
2,1243906,trend_past30days,2021-08-26,618307.550403226,predicted,618307.550403226,0.497069352831505,625598.449596774,1566.88911290467,0.00250462435435158,,
2,1243906,trend_past30days,2021-08-27,619874.439516127,predicted,619874.439516127,0.49832900517895,624031.560483873,1566.88911290094,0.00251091324882027,,
2,1243906,trend_past30days,2021-08-28,621441.328629032,predicted,621441.328629032,0.499588657526398,622464.671370968,1566.88911290467,0.00251723380453644,,
2,1243906,trend_past30days,2021-08-29,623008.217741937,predicted,623008.217741937,0.500848309873846,620897.782258064,1566.88911290467,0.00252358626118175,,
2,1243906,trend_past30days,2021-08-30,624575.106854837,predicted,624575.106854837,0.502107962221291,619330.893145163,1566.88911290094,0.00252997086088145,,
2,1243906,trend_past30days,2021-08-31,626141.995967742,predicted,626141.995967742,0.503367614568739,617764.004032258,1566.88911290467,0.00253638784823541,,
2,1243906,trend_past30days,2021-09-01,627708.885080643,predicted,627708.885080643,0.504627266916184,616197.114919357,1566.88911290094,0.00254283747028904,,
2,1243906,trend_past30days,2021-09-02,629275.774193548,predicted,629275.774193548,0.505886919263632,614630.225806452,1566.88911290467,0.0025493199766555,,
2,1243906,trend_past30days,2021-09-03,630842.663306452,predicted,630842.663306452,0.50714657161108,613063.336693548,1566.88911290467,0.00255583561945723,,
2,1243906,trend_past30days,2021-09-04,632409.552419353,predicted,632409.552419353,0.508406223958525,611496.447580647,1566.88911290094,0.00256238465341909,,
2,1243906,trend_past30days,2021-09-05,633976.441532258,predicted,633976.441532258,0.509665876305973,609929.558467742,1566.88911290467,0.00256896733590185,,
2,1243906,trend_past30days,2021-09-06,635543.330645159,predicted,635543.330645159,0.510925528653418,608362.669354841,1566.88911290094,0.00257558392687474,,
