FrameworkVersion,"1.0.176.23","clorton (CMS/Main/framework)"
detected{2},0,0,0,0,0,0,1,1,2,3,3,4,7,9,11,14,19,23,26,31,34,45,59,89,116,145,188,258,330,435,558,744,941,1209,1591,2041,2560,3269,4130,5207,6481,8066,9801,11824,14075,16390,18783,20999,23371,25536,27435,29009,30029,30750,31084,31011,30702,29912,28956,27678
detected{3},0,0,0,0,1,1,1,2,4,4,2,6,10,17,24,33,45,64,74,95,121,159,226,276,363,487,630,774,1013,1295,1676,2128,2668,3390,4315,5388,6760,8287,10037,12105,14400,16828,19209,21786,24036,25935,27722,29168,30248,30896,31080,30926,30373,29597,28638,27501,26064,24678,23306,21848
detected{4},0,0,0,0,0,0,0,1,0,0,2,3,4,6,6,9,11,15,16,16,23,33,47,52,72,91,120,152,213,282,354,445,543,694,896,1196,1533,1981,2593,3228,4050,5119,6353,7847,9605,11544,13695,16064,18587,21165,23444,25638,27345,28839,29924,30717,30982,30879,30425,29791
detected{5},0,0,0,0,0,0,1,4,5,7,8,9,11,15,18,23,30,36,39,47,59,81,109,127,163,216,295,374,449,552,694,920,1180,1506,1914,2438,3055,3914,4988,6201,7676,9274,11169,13422,15694,18272,20783,23214,25308,27217,28720,29893,30546,31013,31042,30671,30051,29224,28047,26834
detected{6},0,0,0,0,0,0,1,2,5,5,7,8,16,19,26,43,56,70,99,123,161,213,272,346,441,557,696,881,1182,1525,1997,2520,3133,4029,4993,6270,7686,9296,11159,13454,15798,18329,20898,23315,25567,27290,28884,30138,30974,31287,31179,30749,30130,29229,28266,27033,25524,24061,22548,21087
detected{7},0,0,0,1,3,3,3,3,4,5,5,5,6,7,6,11,14,20,25,35,53,67,93,121,148,194,262,330,421,527,701,865,1088,1382,1800,2331,2987,3773,4749,5950,7386,9118,11112,13163,15504,17834,20247,22762,25080,27097,28742,29879,30744,31230,31276,30824,30127,29315,28160,26765
detected{8},0,0,0,0,0,0,0,1,1,4,4,7,8,9,10,13,12,12,15,13,16,17,22,26,33,39,55,70,95,111,148,207,245,307,405,513,649,839,1078,1357,1747,2210,2761,3508,4447,5567,6865,8562,10402,12560,14840,17303,19803,22213,24560,26779,28308,29651,30354,30969
detected{9},0,0,0,1,1,1,1,2,3,3,3,2,5,5,11,18,26,35,46,55,76,109,123,167,198,263,343,464,601,798,990,1268,1600,2043,2617,3286,4132,5178,6455,7961,9795,11845,13897,16301,18833,21305,23557,25699,27519,29059,30148,30802,31124,30982,30421,29700,28779,27667,26347,24959
infected{0},3,3,7,9,10,13,15,19,23,28,38,49,66,90,119,154,190,250,331,435,579,743,960,1238,1588,2042,2619,3361,4304,5493,7014,8847,11345,14437,18346,22887,28472,35018,42489,50831,59975,69823,79366,88813,97310,104787,110525,115185,118282,119432,119276,117303,114346,110529,106318,101329,96096,90343,84703,78880
infected{1},3,1,1,1,1,1,4,4,3,5,10,14,17,23,26,31,36,40,65,96,110,137,175,230,287,375,485,611,793,1007,1304,1656,2164,2855,3635,4649,6060,7741,10030,12672,16100,20162,25217,30940,37839,45255,53917,63223,72772,82417,91533,99783,107035,112630,116543,118915,119350,118419,116484,113249
infected{2},3,3,3,3,3,5,4,6,8,12,14,20,26,34,53,64,88,108,129,168,223,289,368,494,646,827,1085,1383,1791,2340,3027,3919,5021,6448,8279,10496,13340,16749,20953,26146,32237,39300,47031,56069,65578,74904,84170,93106,101115,107766,112954,116723,118896,119485,118494,116423,113069,108841,104150,98771
infected{3},3,3,4,5,8,10,19,24,29,38,49,56,76,100,140,179,231,301,386,529,672,885,1121,1443,1883,2411,3116,4022,5154,6628,8549,10880,13802,17265,21715,26931,32968,39999,48190,57431,66800,76660,86052,94894,102554,108971,113973,117282,119033,119066,117864,115499,111854,107843,103073,98013,92421,86686,81019,75569
infected{4},3,3,3,3,3,2,5,6,6,12,15,18,24,27,30,44,61,73,93,116,134,179,233,300,385,512,630,816,1057,1376,1710,2243,2898,3749,4861,6242,7948,10236,13044,16413,20634,25589,31713,38690,46663,55389,64661,73979,83588,92653,100797,107601,112860,116663,118724,119304,118235,115898,112468,108653
infected{5},3,3,3,2,3,9,11,14,18,22,25,32,42,55,72,92,115,146,186,235,312,415,529,657,851,1088,1406,1759,2255,2926,3764,4796,6196,7864,10085,12635,16039,20020,25018,30814,37595,45245,53767,63406,72807,82581,91757,100006,106994,112438,116540,118713,119417,118660,116929,113636,109662,104974,99615,94169
infected{6},3,3,4,3,7,13,16,21,28,37,49,71,100,132,161,217,291,386,506,643,837,1017,1354,1753,2206,2865,3719,4773,6121,7926,10016,12588,16042,20154,24956,30955,37819,45503,54265,63761,73443,82962,92263,100534,107844,113221,116723,118782,119405,118545,116525,113334,109465,104764,99882,94473,88585,83006,77153,71635
infected{7},3,3,4,4,9,10,17,15,18,22,26,24,30,36,57,65,86,111,159,204,264,351,454,578,770,1005,1299,1665,2130,2731,3523,4438,5776,7349,9346,11872,15121,19133,23838,29551,36274,43895,52418,61497,71233,80720,90058,98596,106132,111877,115883,118441,119396,119130,117249,114365,110386,105882,100866,95563
infected{8},3,3,3,4,4,4,6,7,9,10,16,19,17,18,25,26,29,37,32,44,60,78,98,125,165,211,276,351,444,574,741,947,1192,1546,1954,2522,3256,4162,5356,6905,8762,11104,14109,17722,22264,27744,34216,41689,50077,59270,68901,78380,87880,96829,104583,111034,115528,118421,119513,118861
infected{9},3,3,4,5,5,6,6,10,13,19,27,37,49,67,94,115,146,173,241,320,415,543,659,853,1098,1416,1840,2401,3105,3988,5076,6452,8240,10497,13213,16672,20900,26025,32246,39532,47636,56470,65890,75485,84675,93321,101293,107840,113086,116659,118539,118781,117636,115730,112125,108104,103699,98581,92989,87446
asymptomatic{0},3,3,4,6,7,9,9,11,13,14,18,25,33,42,55,80,92,121,164,216,267,349,450,594,759,986,1242,1604,2041,2625,3303,4189,5415,6891,8808,10958,13653,16808,20307,24421,28805,33387,37970,42590,46574,50332,53172,55369,56760,57261,57253,56347,54996,53228,51185,48811,46387,43573,40975,38214
asymptomatic{1},3,1,1,1,1,1,3,3,2,3,4,5,7,11,13,16,16,19,29,43,48,64,82,105,128,175,243,302,386,504,652,802,1057,1384,1752,2290,2986,3769,4871,6153,7774,9735,12111,14868,18142,21630,25737,30113,34653,39272,43627,47563,51063,53820,55733,56901,57130,56742,55842,54242
asymptomatic{2},3,3,3,2,2,3,3,3,3,6,5,9,11,14,24,30,40,52,65,82,116,144,192,245,306,399,526,673,877,1169,1490,1896,2403,3089,3974,5048,6463,8067,10040,12598,15415,18822,22587,26880,31449,35914,40379,44682,48573,51888,54334,56035,57148,57423,56987,56036,54364,52199,49960,47457
asymptomatic{3},3,3,3,3,4,6,11,11,11,17,26,25,39,52,68,90,118,144,185,248,313,423,555,705,925,1156,1499,1928,2410,3133,4049,5212,6612,8226,10323,12861,15779,19083,23003,27437,31909,36564,41140,45433,49094,52135,54637,56229,57109,57122,56651,55554,53899,52020,49708,47352,44655,41902,39202,36550
asymptomatic{4},3,3,3,2,2,1,2,3,4,5,6,7,11,13,12,19,29,32,39,57,57,79,103,135,188,245,303,392,508,655,818,1090,1418,1864,2382,3044,3865,4935,6266,7861,9894,12237,15237,18520,22374,26627,30991,35353,39985,44282,48247,51565,54185,56066,57017,57347,56737,55662,54131,52384
asymptomatic{5},3,3,3,2,3,5,7,9,11,11,14,17,20,25,33,43,56,68,83,116,150,201,251,310,402,511,677,837,1079,1425,1843,2320,3003,3813,4859,6131,7779,9671,12144,14905,18097,21773,25961,30551,35041,39612,44092,48009,51328,54001,55984,56833,57164,56823,55942,54396,52561,50296,47707,45026
asymptomatic{6},3,3,4,3,6,8,11,14,17,25,31,40,55,72,85,112,146,201,256,306,389,457,635,830,1059,1365,1768,2300,2947,3797,4809,5977,7611,9479,11937,14845,18175,21876,26236,30836,35512,39915,44455,48336,51876,54514,56006,56976,57189,56959,56052,54461,52681,50391,47971,45374,42621,39900,37044,34388
asymptomatic{7},3,3,2,2,4,5,7,6,5,9,12,11,16,21,30,31,38,47,73,95,118,170,215,273,360,475,606,797,1024,1329,1674,2125,2814,3574,4509,5679,7232,9065,11417,14157,17295,20899,25046,29540,34278,38912,43336,47411,50908,53640,55512,56854,57244,57085,56287,54998,53095,50926,48643,46205
asymptomatic{8},3,3,3,3,2,2,2,2,4,3,5,6,4,2,5,6,8,14,12,21,32,38,47,60,77,100,123,152,201,279,353,440,566,730,930,1202,1525,1972,2572,3321,4208,5414,6833,8586,10758,13368,16453,20106,24047,28384,32985,37528,42134,46398,50113,53319,55549,56913,57405,57030
asymptomatic{9},3,3,3,4,4,5,5,7,8,11,15,20,23,33,44,52,64,74,105,152,207,266,329,426,558,699,909,1170,1486,1933,2451,3087,3977,5078,6397,8076,10068,12521,15477,18973,22861,27296,31726,36325,40520,44626,48502,51673,54271,55943,56805,56833,56305,55385,53793,51788,49708,47204,44473,41866
symptomatic{0},0,0,2,1,1,1,4,4,6,10,11,12,17,26,34,41,47,56,81,104,151,178,228,292,356,471,646,832,1075,1316,1717,2174,2691,3347,4238,5322,6548,7911,9523,11046,12713,14380,15706,16752,17400,17731,17540,17176,16650,15643,14484,13016,11809,10519,9379,8286,7242,6342,5431,4705
symptomatic{1},0,0,0,0,0,0,1,1,1,2,4,5,5,6,3,4,7,7,17,27,25,33,44,60,73,100,114,136,184,229,303,406,530,702,921,1111,1467,1875,2399,2979,3844,4652,5766,6923,8376,9907,11598,13262,14673,16053,16886,17521,17824,17727,17233,16331,15195,13900,12633,11482
symptomatic{2},0,0,0,1,0,1,1,2,3,3,7,7,8,11,20,18,22,22,26,40,52,74,76,125,175,217,281,343,429,519,708,939,1208,1547,1977,2452,3117,3921,4890,6046,7396,8768,10220,12013,13593,14956,16117,17147,17500,17685,17427,16901,16078,15113,13996,12687,11301,9981,8862,7706
symptomatic{3},0,0,1,2,3,0,5,7,6,6,8,12,21,23,35,36,47,76,85,139,171,224,271,364,439,584,759,985,1268,1595,2055,2571,3263,4110,5130,6175,7374,8863,10508,12319,13754,15377,16461,17134,17433,17565,17273,16760,15871,14702,13388,12162,10833,9654,8547,7479,6557,5709,4912,4283
symptomatic{4},0,0,0,1,0,0,2,1,1,5,6,6,7,2,6,11,11,15,16,18,32,50,61,83,103,124,152,204,259,343,410,546,668,875,1163,1457,1878,2472,3120,3892,4823,5852,7111,8701,10347,11789,13444,14905,16146,17097,17906,17902,17511,16866,16191,15135,13979,12582,11168,9914
symptomatic{5},0,0,0,0,0,4,2,2,3,7,5,7,10,12,17,21,20,30,53,52,79,95,117,158,195,255,321,404,520,672,892,1146,1473,1866,2416,2930,3720,4618,5610,6875,8391,9891,11420,13248,14611,16094,17015,17664,17941,17624,17046,16435,15224,14007,12918,11461,10195,8962,7858,6999
symptomatic{6},0,0,0,0,0,4,3,3,4,3,8,20,30,42,44,59,79,91,112,146,205,270,339,411,496,690,919,1129,1451,1889,2316,2954,3774,4787,5730,7002,8429,9931,11452,13167,14791,16008,17085,17740,17954,17714,17078,16302,15330,13897,12603,11460,10254,9094,7961,6892,5892,5201,4479,3878
symptomatic{7},0,0,2,1,4,3,5,5,5,4,3,4,6,5,14,14,27,37,55,61,79,97,118,142,194,239,331,390,472,606,841,1043,1375,1726,2233,2847,3645,4669,5467,6656,8226,9764,11261,12725,14246,15596,16841,17570,17957,17836,17379,16475,15455,14331,12963,11661,10267,9099,7925,6912
symptomatic{8},0,0,0,1,2,2,3,3,2,2,5,2,2,3,5,5,10,7,4,10,11,19,27,31,38,48,69,94,104,135,177,214,273,377,477,618,816,1037,1280,1660,2065,2623,3348,4108,5104,6303,7758,9231,10805,12601,14198,15553,16519,17421,18028,17936,17468,16828,15923,14633
